id,entri,induk_entri,jenis,kategori_saran,saran
41641,ada-adanyakah,ada,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
41642,ada-ada saja,ada,turunan,frasa-spasi,"Tinjau manual: frasa/spasi. Verifikasi apakah tetap jenis turunan; jika ya, tetapkan tagar afiks dominan secara manual."
42191,ajisesirep,aji (1),turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
42237,akalakalan,akal,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
42524,alah-mengalahi,alah (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
71633,almuhit,muhit,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
44554,atas-mengatasi,atas,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
44714,awang-gemawang,awang (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
44839,ayun-temayun,ayun,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
46203,baru-baru ini,baru (1),turunan,frasa-spasi,"Tinjau manual: frasa/spasi. Verifikasi apakah tetap jenis turunan; jika ya, tetapkan tagar afiks dominan secara manual."
46477,bebatuan,batu,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
46534,bebauan,bau (1),turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
47497,bebercak,bercak,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
48544,bebuahan,buah,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
49269,bebunyian,bunyi (1),turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
49486,bebuyutan,buyut (2),turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
50626,becermin,cermin,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
52563,bederma,derma,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
46801,bedil-bedal,bedil,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
63767,bekerdom-kerdom,kerdom,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
63936,bekerja,kerja,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
63946,bekerjap-kerjap,kerjap,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
63952,bekerlapan,kerlap (1),turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
63961,bekerlip,kerlip (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
63973,bekernyut,kernyut (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
63974,bekernyutan,kernyut (1),turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
64007,bekersik,kersik (2),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
64009,bekertak,kertak-kertuk,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
64010,bekertak-kertak,kertak-kertuk,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
66353,belacak,lacak (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
66422,belaga,laga (2),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
66457,belagu,lagu (2),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
68179,belengkok,lengkok,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
68180,belengkokan,lengkok,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
68204,belengset,lengset,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
68378,belesir,lesir (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
68426,beleter,leter (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
91059,belunjur,unjur,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
75171,bepercikan,percik,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
75207,bepergian,pergi,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
57399,beperhatian,hati,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
75316,beperkara,perkara,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
41719,beradik-berkakak,adik,turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
42190,berajimumpung,aji (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
46986,berbelaskasihan,belas (1),turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
49522,bercabiran,cobar-cabir,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
