etim_id,indeks,etim_homonim,entri_homonim_saat_ini,bahasa,arti_asal,rekomendasi_entri_id,rekomendasi_entri,catatan
"2","à","1","","Prancis","kira-kira; lebih kurang (antara dua angka untuk memperkiraka","2","à","skor makna 0.750 → entri_id=2"
"3","aba","1","","Arab","ayah; bapak","8","aba","skor makna 1.000 → entri_id=8"
"4","abad","1","","Arab","masa seratus tahun (century)","10","abad","skor makna 0.231 → entri_id=10"
"5","abadi","1","","Arab","kekal; tidak berkesudahan (eternal)","11","abadi","skor makna 0.750 → entri_id=11"
"6","abadiah","1","","Arab","kekekalan (eternity)","12","abadiah","skor makna 0.500 → entri_id=12"
"7","abah","1","2","Arab","","14","abah (1)","homonim 1 → entri_id=14"
"8","abaimana","1","","Hindi","lubang pelepasan; dubur (anal and urethral orifices (with re","19","abaimana","skor makna 0.273 → entri_id=19"
"9","abaka","1","","Inggris","tumbuhan yang seratnya dibuat tali belati (abaca, Manila hem","20","abaka","skor makna 0.545 → entri_id=20"
"10","abaktinal","1","","Inggris","berkenaan dengan sisi tubuh yang tidak mengandung mulut (aba","22","abaktinal","skor makna 0.727 → entri_id=22"
"13","abandonemen","1","","Belanda","keadaan tertinggal atau terbuang (abandonment)","29","abandonemen","skor makna 0.500 → entri_id=29"
"15","abatoar","1","","Belanda","tempat pemotongan hewan untuk umum; pejagalan (abattoir)","39","abatoar","skor makna 0.667 → entri_id=39"
"16","abawi","1","","Arab","pihak ayah (fatherly)","41","abawi","skor makna 0.667 → entri_id=41"
"17","abdi","1","","Arab","orang bawahan; pelayan; hamba (slave)","44","abdi","skor makna 0.308 → entri_id=44"
"18","abdikasi","1","","Belanda","pelepasan hak, wewenang, atau kekuasaan (tentang pembesar at","45","abdikasi","skor makna 0.444 → entri_id=45"
"19","abdomen","1","","Latin","bagian tubuh berupa rongga perut yang berisi alat pencernaan","46","abdomen","skor makna 0.429 → entri_id=46"
"20","abdominal","1","","Belanda","berhubungan dengan abdomen (abdominal)","47","abdominal","skor makna 0.750 → entri_id=47"
"21","abdu","1","","Arab","hamba (Allah), terutama digunakan untuk nama orang (servant)","48","abdu","skor makna 0.875 → entri_id=48"
"22","abdul","1","","Arab","(-) (servant of)","51","abdul","skor rendah (0.000) — review manual"
"23","abece","1","","Belanda","a-b-c (abjad Latin) (alphabet)","53","abece","skor makna 0.133 → entri_id=53"
"24","aberasi","1","","Belanda","penyimpangan dari yang normal (aberration)","55","aberasi","skor makna 0.500 → entri_id=55"
"27","abidin","1","","Arab","(bentuk jamak dari *abid*) orang-orang yang taat (beribadah ","60","abidin","skor makna 0.923 → entri_id=60"
"28","abilah","1","","Persia","cacar; ketumbuhan (chicken pox)","61","abilah","skor makna 0.500 → entri_id=61"
"29","abiogenesis","1","","Inggris","kehidupan yang dapat muncul dari benda yang tidak hidup (abi","64","abiogenesis","skor makna 0.727 → entri_id=64"
"30","abiosfer","1","","","lingkungan berupa barang atau benda yang tidak hidup (the pa","66","abiosfer","skor makna 0.471 → entri_id=66"
"31","abis","1","","Inggris","bagian yang paling dalam dari lautan yang mempunyai kedalama","70","abis","skor makna 0.625 → entri_id=70"
"32","abisal","1","","Belanda","endapan lumpur atau tanah dari dasar laut pada kedalaman 2.2","71","abisal","skor makna 0.500 → entri_id=71"
"33","abiturien","1","","Belanda","lulusan sekolah (terutama sekolah menengah tingkat atas) ((h","75","abiturien","skor makna 0.500 → entri_id=75"
"34","abjad","1","","Arab","kumpulan huruf (aksara) berdasarkan urutan yang lazim dalam ","76","abjad","skor makna 0.588 → entri_id=76"
"35","abjadiah","1","","Arab","berdasarkan abjad (letters of the alphabet)","77","abjadiah","skor makna 0.400 → entri_id=77"
"36","ablasi","1","","Belanda","hal terlepasnya sesuatu dari sesuatu (ablation)","79","ablasi","skor makna 0.100 → entri_id=79"
"37","ablatif","1","","Belanda","berhubungan dengan ablasi (ablative)","81","ablatif","skor makna 0.429 → entri_id=81"
"38","ablaut","1","","Jerman","perubahan vokal untuk menandai pelbagai fungsi gramatikal, m","82","ablaut","skor makna 0.870 → entri_id=82"
"39","ablur","1","","Persia","","84","ablur","skor rendah (0.000) — review manual"
"40","abnormal","1","","Belanda","tidak sesuai dengan keadaan yang biasa; mempunyai kelainan; ","85","abnormal","skor makna 0.692 → entri_id=85"
"41","abnormalitas","1","","Belanda","ketidaknormalan (abnormality)","86","abnormalitas","skor makna 0.200 → entri_id=86"
"42","abnus","1","","Arab","kayu arang (ebony)","87","abnus","skor makna 0.667 → entri_id=87"
"43","abolisi","1","","Belanda","peniadaan peristiwa pidana (abolition)","90","abolisi","skor makna 0.300 → entri_id=90"
